Doctor Name,Specialization,Location,Qualification,Ratings,Phone Number
Dr. Bishnu Sharma,Gynecologist,Biratnagar,MBBS,4.6,-982169942
Dr. Sita Tamang,Neurologist,Kathmandu,PhD (Medical Science),3.9,-987554123
Dr. Ram Lama,Pediatrician,Bharatpur,MD,3,-981587163
Dr. Sita Bhandari,Neurologist,Butwal,MDS,3.6,-987737880
Dr. Ram Sharma,Orthopedic,Birgunj,MDS,3.2,-987712970
Dr. Hari Thapa,Cardiologist,Kathmandu,DM,4.2,-988627697
Dr. Hari Bhandari,Cardiologist,Lalitpur,BDS,3.8,-986732090
Dr. Gita Lama,Neurologist,Nepalgunj,MCh,4.8,-983725752
Dr. Bishnu Adhikari,Psychiatrist,Hetauda,MDS,4.5,-985907854
Dr. Sarita Karki,Cardiologist,Pokhara,MCh,3.1,-984491261
Dr. Gita Sharma,Pediatrician,Dharan,PhD (Medical Science),4.6,-983909915
Dr. Hari Thapa,Orthopedic,Hetauda,MBBS,4.9,-988017683
Dr. Bishnu Thapa,General Physician,Dharan,MCh,3.2,-981265533
Dr. Gita Karki,Cardiologist,Birgunj,DM,4.8,-982067940
Dr. Sita Adhikari,Gynecologist,Hetauda,MS,4.8,-986246221
Dr. Krishna Thapa,Pediatrician,Dharan,MCh,4.9,-983000013
Dr. Bishnu Pokharel,Psychiatrist,Hetauda,MCh,4.2,-982080799
Dr. Gita Sharma,Dermatologist,Birgunj,BDS,4.3,-988935699
Dr. Sarita Karki,Neurologist,Kathmandu,MCh,3.5,-983803682
Dr. Manoj Bhandari,Cardiologist,Birgunj,MDS,4.3,-985073352
Dr. Ram Adhikari,Neurologist,Bharatpur,BDS,3.1,-984981394
Dr. Maya Poudel,Neurologist,Kathmandu,BDS,4.5,-988621535
Dr. Manoj Lama,General Physician,Dharan,MS,4.9,-987234248
Dr. Sita Lama,Dentist,Bharatpur,MDS,4.9,-983428192
Dr. Ram Karki,General Physician,Kathmandu,PhD (Medical Science),3.9,-982569799
Dr. Shyam Karki,General Physician,Birgunj,MS,3.8,-989073521
Dr. Ram Karki,Dermatologist,Birgunj,MCh,4.9,-981772945
Dr. Gita Adhikari,Dentist,Nepalgunj,BDS,3.3,-986859617
Dr. Sita Thapa,Orthopedic,Hetauda,MBBS,3.4,-985310129
Dr. Maya Poudel,Gynecologist,Bharatpur,BDS,4.7,-982524188
Dr. Shyam Gautam,General Physician,Pokhara,MDS,3.4,-981986359
Dr. Sita Karki,Cardiologist,Lalitpur,MBBS,3.8,-984187287
Dr. Shyam Gautam,Cardiologist,Bharatpur,MS,4.7,-988009614
Dr. Bishnu Karki,Gynecologist,Lalitpur,MD,3.5,-986771827
Dr. Hari Gautam,Gynecologist,Birgunj,MCh,4.1,-984146878
Dr. Hari Adhikari,Gynecologist,Birgunj,PhD (Medical Science),4.5,-982360299
Dr. Shyam Thapa,Orthopedic,Butwal,MCh,4.3,-986509708
Dr. Sarita Poudel,Orthopedic,Pokhara,DM,3.7,-989800638
Dr. Sita Sharma,Ophthalmologist,Lalitpur,MBBS,4.8,-984016016
Dr. Krishna Pokharel,Dermatologist,Nepalgunj,MBBS,4.8,-988259943
Dr. Sarita Adhikari,Gynecologist,Birgunj,MS,3.7,-989101551
Dr. Shyam Adhikari,Gynecologist,Lalitpur,MBBS,4.1,-986075508
Dr. Hari Lama,Ophthalmologist,Biratnagar,BDS,4.7,-981613585
Dr. Shyam Thapa,Ophthalmologist,Nepalgunj,MS,4.5,-984653589
Dr. Bishnu Adhikari,Cardiologist,Biratnagar,DM,4.6,-987799456
Dr. Manoj Adhikari,Gynecologist,Butwal,MDS,4.2,-986171354
Dr. Maya Gautam,Pediatrician,Lalitpur,MDS,3.5,-985305927
Dr. Sita Karki,Gynecologist,Nepalgunj,MD,3.3,-982676602
Dr. Manoj Gautam,Ophthalmologist,Hetauda,MD,3.7,-986139495
Dr. Sarita Tamang,Cardiologist,Butwal,MBBS,3.7,-984389448
Dr. Sarita Bhandari,Orthopedic,Birgunj,MS,3.3,-983210115
Dr. Gita Lama,General Physician,Butwal,MD,4.5,-983941452
Dr. Ram Pokharel,Dentist,Lalitpur,MD,3.7,-988577551
Dr. Krishna Sharma,Cardiologist,Bharatpur,MCh,4.1,-986039502
Dr. Manoj Adhikari,Orthopedic,Bharatpur,MBBS,3.4,-981811893
Dr. Gita Thapa,Cardiologist,Bharatpur,BDS,4.5,-982621527
Dr. Krishna Adhikari,Pediatrician,Lalitpur,PhD (Medical Science),3.2,-989211331
Dr. Shyam Pokharel,Cardiologist,Pokhara,MS,4.9,-983716369
Dr. Gita Pokharel,Cardiologist,Dharan,MBBS,4.9,-987727454
Dr. Sita Lama,Orthopedic,Kathmandu,MBBS,3.5,-987439521
Dr. Hari Poudel,Pediatrician,Lalitpur,MBBS,5,-982555968
Dr. Sarita Thapa,Orthopedic,Nepalgunj,MS,4.3,-986055233
Dr. Shyam Poudel,Psychiatrist,Birgunj,MCh,4.6,-981277962
Dr. Sarita Sharma,Pediatrician,Butwal,MD,3.2,-985055550
Dr. Maya Sharma,Orthopedic,Butwal,BDS,3.7,-989603529
Dr. Shyam Adhikari,Ophthalmologist,Pokhara,MS,4.9,-986963391
Dr. Krishna Pokharel,Gynecologist,Dharan,DM,4.1,-984390532
Dr. Shyam Tamang,Orthopedic,Pokhara,MBBS,4.3,-989392632
Dr. Gita Thapa,Psychiatrist,Nepalgunj,MBBS,3.2,-981418024
Dr. Bishnu Lama,Cardiologist,Dharan,MDS,4.7,-989307449
Dr. Manoj Adhikari,Dermatologist,Birgunj,PhD (Medical Science),4.9,-988630303
Dr. Shyam Pokharel,Pediatrician,Pokhara,MBBS,4.5,-983488333
Dr. Gita Tamang,Gynecologist,Kathmandu,MS,3.1,-986825727
Dr. Shyam Thapa,Psychiatrist,Bharatpur,MCh,3.5,-986819919
Dr. Ram Bhandari,Cardiologist,Pokhara,BDS,3.4,-983068522
Dr. Sarita Karki,Dermatologist,Birgunj,MS,4.2,-988194766
Dr. Bishnu Tamang,Ophthalmologist,Kathmandu,BDS,3.4,-982215972
Dr. Krishna Pokharel,Dentist,Dharan,MBBS,4.1,-989401940
Dr. Manoj Bhandari,Orthopedic,Kathmandu,MCh,3.5,-984931842
Dr. Ram Pokharel,Dermatologist,Nepalgunj,MD,4.8,-989915338
Dr. Maya Adhikari,Neurologist,Lalitpur,PhD (Medical Science),3.9,-983885505
Dr. Sita Pokharel,Cardiologist,Birgunj,DM,5,-984494559
Dr. Bishnu Pokharel,Psychiatrist,Lalitpur,DM,3.5,-988872361
Dr. Bishnu Pokharel,Neurologist,Biratnagar,MD,4.6,-987798007
Dr. Maya Bhandari,Gynecologist,Birgunj,MBBS,4.9,-988309239
Dr. Manoj Thapa,Orthopedic,Butwal,MDS,3.4,-987417049
Dr. Sita Lama,Neurologist,Bharatpur,MS,4.2,-984456843
Dr. Krishna Bhandari,Pediatrician,Kathmandu,DM,4.7,-984765548
Dr. Krishna Sharma,Neurologist,Dharan,MCh,4.5,-986905265
Dr. Ram Adhikari,General Physician,Birgunj,MS,3.6,-985082188
Dr. Hari Gautam,Pediatrician,Lalitpur,MD,3.6,-988236522
Dr. Maya Thapa,Cardiologist,Pokhara,MBBS,5,-989758718
Dr. Hari Karki,Gynecologist,Hetauda,DM,3.5,-981091516
Dr. Sarita Bhandari,Gynecologist,Birgunj,BDS,3,-988709835
Dr. Sita Gautam,Orthopedic,Biratnagar,PhD (Medical Science),4.3,-985373199
Dr. Hari Karki,Cardiologist,Kathmandu,MD,4.8,-982321184
Dr. Bishnu Lama,General Physician,Kathmandu,MD,4,-983119110
Dr. Shyam Karki,Pediatrician,Lalitpur,DM,3.3,-982738680
Dr. Sarita Tamang,Dentist,Birgunj,MDS,3.4,-981006568
Dr. Ram Thapa,Dermatologist,Hetauda,MDS,3.7,-989096566
Dr. Krishna Bhandari,Pediatrician,Birgunj,PhD (Medical Science),4.1,-986444052
Dr. Ram Bhandari,Pediatrician,Kathmandu,DM,3.1,-981844083
Dr. Sarita Karki,Ophthalmologist,Biratnagar,MDS,4.8,-988393647
Dr. Manoj Adhikari,Dentist,Butwal,PhD (Medical Science),3.9,-987935141
Dr. Manoj Sharma,Dentist,Pokhara,MS,4.6,-986750044
Dr. Bishnu Bhandari,Orthopedic,Nepalgunj,MS,4.3,-984657124
Dr. Krishna Gautam,Cardiologist,Butwal,MD,3.1,-987331945
Dr. Ram Adhikari,Dentist,Dharan,BDS,4.8,-987356361
Dr. Maya Thapa,Pediatrician,Nepalgunj,MBBS,3.2,-989391669
Dr. Sarita Karki,Cardiologist,Kathmandu,MDS,4,-988720227
Dr. Hari Sharma,Cardiologist,Dharan,MS,5,-982989500
Dr. Ram Sharma,Psychiatrist,Butwal,MDS,4.6,-983100490
Dr. Gita Sharma,Dermatologist,Nepalgunj,MDS,4.2,-981998842
Dr. Ram Gautam,Dentist,Nepalgunj,DM,3.8,-989355706
Dr. Hari Lama,Neurologist,Bharatpur,MBBS,3.5,-987196092
Dr. Sita Pokharel,Psychiatrist,Nepalgunj,PhD (Medical Science),3.9,-988114914
Dr. Hari Gautam,Neurologist,Butwal,MS,4.9,-985231056
Dr. Hari Gautam,Neurologist,Butwal,MD,3.1,-983582363
Dr. Gita Poudel,Gynecologist,Birgunj,PhD (Medical Science),4.8,-982100630
Dr. Ram Bhandari,Ophthalmologist,Dharan,MDS,4.4,-982783080
Dr. Krishna Tamang,Ophthalmologist,Butwal,MCh,3,-983796596
Dr. Hari Karki,Psychiatrist,Pokhara,PhD (Medical Science),4.9,-982790624
Dr. Hari Karki,Dermatologist,Bharatpur,MD,4,-982719854
Dr. Maya Gautam,Dentist,Dharan,MD,4.5,-989726913
Dr. Bishnu Poudel,Dermatologist,Hetauda,MDS,3.1,-989242399
Dr. Hari Pokharel,Cardiologist,Birgunj,MBBS,3.1,-987816618
Dr. Gita Thapa,Psychiatrist,Pokhara,MS,4.5,-988226608
Dr. Maya Tamang,Orthopedic,Nepalgunj,BDS,3.9,-984722895
Dr. Sarita Karki,Psychiatrist,Butwal,BDS,4.1,-987997452
Dr. Gita Bhandari,General Physician,Biratnagar,MD,4,-987349362
Dr. Maya Gautam,Neurologist,Butwal,MD,4.3,-989590013
Dr. Gita Adhikari,Dermatologist,Butwal,PhD (Medical Science),4.5,-984616660
Dr. Maya Pokharel,Pediatrician,Pokhara,MS,3.3,-987647667
Dr. Krishna Thapa,Neurologist,Hetauda,MCh,4.5,-985269987
Dr. Hari Poudel,Gynecologist,Butwal,DM,5,-987808456
Dr. Hari Pokharel,General Physician,Biratnagar,MDS,4.5,-986434584
Dr. Hari Gautam,Ophthalmologist,Pokhara,BDS,4.5,-984802870
Dr. Sita Adhikari,Ophthalmologist,Nepalgunj,MD,3.3,-981858779
Dr. Hari Pokharel,Cardiologist,Biratnagar,MBBS,4,-983656748
Dr. Sarita Lama,Psychiatrist,Birgunj,PhD (Medical Science),4.3,-982387130
Dr. Sarita Lama,Gynecologist,Dharan,MCh,3.8,-988401268
Dr. Shyam Bhandari,Psychiatrist,Nepalgunj,DM,3.6,-985470593
Dr. Sita Karki,Dentist,Bharatpur,DM,4.4,-988751235
,,,,,-988967574
,,,,,-982362299
,,,,,-982997754
,,,,,-983475217
,,,,,-983552493
,,,,,-981082199
,,,,,-988748018
,,,,,-986084427
,,,,,-987049297
,,,,,-987706923
,,,,,-984921459
,,,,,-985536192
,,,,,-981444181
,,,,,-985593765
,,,,,-983399497
,,,,,-981860100
,,,,,-982737686
,,,,,-983654835
,,,,,-985482760
,,,,,-989431176
,,,,,-985466906
,,,,,-984536883
,,,,,-985299368
,,,,,-981550161
,,,,,-981227568
,,,,,-989306096
,,,,,-981435700
,,,,,-981237982
,,,,,-988319515
,,,,,-984427143
,,,,,-983054022
,,,,,-982024795
,,,,,-986673541
,,,,,-983242758
,,,,,-988184554
,,,,,-984890930
,,,,,-988094236
,,,,,-985443855
,,,,,-988560245
,,,,,-984965614
,,,,,-981548348
,,,,,-988166402
,,,,,-982644768
,,,,,-986880212
,,,,,-982821068
,,,,,-984106320
,,,,,-982182856
,,,,,-986108948
,,,,,-986112493
,,,,,-987293247
,,,,,-983385424
,,,,,-985772254
,,,,,-984545755
,,,,,-988222776
,,,,,-988217233
,,,,,-989323052
,,,,,-985565402
,,,,,-981949270
,,,,,-988137693
,,,,,-982404701
,,,,,-981093450
,,,,,-986006956
,,,,,-987993242
,,,,,-989209866
,,,,,-983422037
,,,,,-983764618
,,,,,-986162412
,,,,,-987480585
,,,,,-985470901
,,,,,-985690180
,,,,,-984144223
,,,,,-986123686
,,,,,-988500983
,,,,,-983711481
,,,,,-987411069
,,,,,-983281570
,,,,,-986783039
,,,,,-987371252
,,,,,-984689040
,,,,,-983575442
,,,,,-985691320
,,,,,-985925686
,,,,,-982421994
,,,,,-981876027
,,,,,-984114648
,,,,,-981225155
,,,,,-989363277
,,,,,-985181670
,,,,,-984402661
,,,,,-984789864
,,,,,-981483381
,,,,,-988238501
,,,,,-982799409
,,,,,-982728446
,,,,,-988011974
,,,,,-981635178
,,,,,-989368715
,,,,,-987991960
,,,,,-989801235
,,,,,-985185906
,,,,,-984149413
,,,,,-981707640
,,,,,-982904958
,,,,,-987881216
,,,,,-989604577
,,,,,-981885624
,,,,,-983617852
,,,,,-988872297
,,,,,-985201749
,,,,,-987066651
,,,,,-986160002
,,,,,-989660390
,,,,,-982627256
,,,,,-988043520
,,,,,-986196997
,,,,,-985115887
,,,,,-989152793
,,,,,-986906338
,,,,,-987771261
,,,,,-986470013
,,,,,-986052335
,,,,,-985235877
,,,,,-984287431
,,,,,-984950428
,,,,,-988562440
,,,,,-987724189
,,,,,-982618445
,,,,,-986258311
,,,,,-989724930
,,,,,-987068550
,,,,,-984656148
,,,,,-982239788
,,,,,-988411811
,,,,,-981254252
,,,,,-984230281
,,,,,-983748005
,,,,,-984618809
,,,,,-982710803
,,,,,-987572128
,,,,,-983412884
,,,,,-984549706
,,,,,-986571204
,,,,,-981543764
,,,,,-989549722
,,,,,-988512085
,,,,,-982770078
,,,,,-985937788
,,,,,-986136384
,,,,,-985076737
,,,,,-985516064
,,,,,-989774717
,,,,,-981524343
,,,,,-982942279
,,,,,-983339023
,,,,,-986760526
,,,,,-988208968
,,,,,-986490209
,,,,,-988502162
,,,,,-986822487
,,,,,-981168129
,,,,,-985498302
,,,,,-982003768
,,,,,-982056914
,,,,,-981380052
,,,,,-985109699
,,,,,-982024636
,,,,,-987011791
,,,,,-987937998
,,,,,-987792165
,,,,,-983152658
,,,,,-989500906
,,,,,-989800066
,,,,,-989020727
,,,,,-982723566
,,,,,-981455688
,,,,,-988538947
,,,,,-987164686
,,,,,-986479886
,,,,,-988933747
,,,,,-984026239
,,,,,-983335260
,,,,,-987106353
,,,,,-982041093
,,,,,-981569702
,,,,,-983806637
,,,,,-988506436
,,,,,-987252671
,,,,,-984488393
,,,,,-987319876
,,,,,-985283730
,,,,,-983292389
,,,,,-986212663
,,,,,-988593079
,,,,,-986311037
,,,,,-984700481
,,,,,-982251147
,,,,,-986228472
,,,,,-988086397
,,,,,-989457634
,,,,,-986700273
,,,,,-984350023
,,,,,-983358709
,,,,,-989653060
,,,,,-982159394
,,,,,-988569996
,,,,,-989036268
,,,,,-981897369
,,,,,-986137833
,,,,,-983308140
,,,,,-981656117
,,,,,-983653283
,,,,,-986291433
,,,,,-985117675
,,,,,-988359379
,,,,,-986746497
,,,,,-982323395
,,,,,-989865448
,,,,,-983043666
,,,,,-985606436
,,,,,-989257860
,,,,,-982375190
,,,,,-983007706
,,,,,-989417791
,,,,,-981827444
,,,,,-988707064
,,,,,-985263414
,,,,,-981887494
,,,,,-987134237
,,,,,-981949770
,,,,,-986317645
,,,,,-982767336
,,,,,-983869290
,,,,,-985252145
,,,,,-988480729
,,,,,-984170653
,,,,,-988688926
,,,,,-988144712
,,,,,-989864440
,,,,,-981312116
,,,,,-987428074
,,,,,-983305349
,,,,,-987730731
,,,,,-981596907
,,,,,-985199019
,,,,,-988172808
,,,,,-986144861
,,,,,-987342847
,,,,,-981780155
,,,,,-987773305
,,,,,-988805478
,,,,,-985086978
,,,,,-982194965
,,,,,-986471560
,,,,,-983124155
,,,,,-986249245
,,,,,-988906883
,,,,,-983973822
,,,,,-987154060
,,,,,-988436353
,,,,,-987318321
,,,,,-988651197
,,,,,-981999827
,,,,,-987928198
,,,,,-988659860
,,,,,-986179629
,,,,,-981720100
,,,,,-984072515
,,,,,-985618307
,,,,,-985702910
,,,,,-983648272
,,,,,-988911584
,,,,,-985564772
,,,,,-989164403
,,,,,-985827091
,,,,,-981120985
,,,,,-985800753
,,,,,-988171825
,,,,,-989589056
,,,,,-986943813
,,,,,-983345759
,,,,,-987706382
,,,,,-983865167
,,,,,-982695742
,,,,,-987866304
,,,,,-981515616
,,,,,-984607375
,,,,,-987227965
,,,,,-983370236
,,,,,-985599785
,,,,,-983875937
,,,,,-981433161
,,,,,-987467247
,,,,,-983260866
,,,,,-984906165
,,,,,-985765896
,,,,,-982143317
,,,,,-986162875
,,,,,-982548653
,,,,,-984556499
,,,,,-988956856
,,,,,-987739972
,,,,,-982366741
,,,,,-986204545
,,,,,-986453189
,,,,,-985660900
,,,,,-986026501
,,,,,-986958771
,,,,,-985476771
,,,,,-981839783
,,,,,-986277592
,,,,,-982329821
,,,,,-989770371
,,,,,-985685412
,,,,,-982149670
,,,,,-986335700
,,,,,-984911400
,,,,,-983538963
,,,,,-983563433
,,,,,-985807961
,,,,,-985426669
,,,,,-982950245
,,,,,-985363387
,,,,,-988437141
,,,,,-989160582
,,,,,-986621554
,,,,,-989997040
,,,,,-989851952
,,,,,-982684244
,,,,,-985188267
,,,,,-989804290
,,,,,-981807864
,,,,,-988890954
,,,,,-988046685
,,,,,-986737960
,,,,,-984840259
,,,,,-986782528
,,,,,-986199645
,,,,,-983782751
,,,,,-985375629
,,,,,-989899187
,,,,,-981100048
,,,,,-986880341
,,,,,-986687413
,,,,,-986306648
,,,,,-982968960
,,,,,-983389874
,,,,,-982076501
,,,,,-982891961
,,,,,-983451810
,,,,,-988733773
,,,,,-985600134
,,,,,-982206326
,,,,,-986730272
,,,,,-984419050
,,,,,-988279600
,,,,,-982704762
,,,,,-981656962
,,,,,-983076979
,,,,,-989929750
,,,,,-983852832
,,,,,-986892023
,,,,,-981980651
,,,,,-984260650
,,,,,-985714183
,,,,,-987534423
,,,,,-989462555
,,,,,-981946232
,,,,,-982588693
,,,,,-983363093
,,,,,-983576561
,,,,,-985881629
,,,,,-984889301
,,,,,-987955541
,,,,,-988752552
,,,,,-985841186
,,,,,-988635196
,,,,,-988479185
,,,,,-986904234
,,,,,-982514570
,,,,,-985092123
,,,,,-982459065
,,,,,-987478116
,,,,,-984629672
,,,,,-981617537
,,,,,-986840835
,,,,,-986409230
,,,,,-986738083
,,,,,-981063438
,,,,,-985823569
,,,,,-988748811
,,,,,-981525862
,,,,,-985335437
,,,,,-986578921
,,,,,-982310967
,,,,,-988299800
,,,,,-985498807
,,,,,-986385673
,,,,,-986702734
,,,,,-982213972
,,,,,-984232083
,,,,,-987981345
,,,,,-989949763
,,,,,-989088681
,,,,,-983236124
,,,,,-984344078
,,,,,-984653606
,,,,,-986730060
,,,,,-986495285
,,,,,-986654921
,,,,,-981349104
,,,,,-988081048
,,,,,-987472959
,,,,,-988713830
,,,,,-984217226
,,,,,-981840762
,,,,,-988200468
,,,,,-985757186
,,,,,-986884570
,,,,,-981459029
,,,,,-988619938
,,,,,-984226132
,,,,,-984028722
,,,,,-981347360
,,,,,-986746418
,,,,,-988221041
,,,,,-984441511
,,,,,-985546245
,,,,,-983075774
,,,,,-984227775
,,,,,-988252461
,,,,,-981131311
,,,,,-981109505
,,,,,-984194976
,,,,,-989340947
,,,,,-988915193
,,,,,-989975333
,,,,,-984076016
,,,,,-989865917
,,,,,-988591085
,,,,,-982133399
,,,,,-986983258
,,,,,-984502201
,,,,,-988101961
,,,,,-988933207
,,,,,-982842455
,,,,,-988908314
,,,,,-983199657
,,,,,-989434550
,,,,,-983356285
,,,,,-981882818
,,,,,-985360886
,,,,,-989315890
,,,,,-985492739
,,,,,-981190908
,,,,,-986421607
,,,,,-981611789
,,,,,-984776772
,,,,,-984175004
,,,,,-989841493
,,,,,-984366549
,,,,,-983561337
,,,,,-987706920
,,,,,-985431344
,,,,,-986935383
,,,,,-984456628
,,,,,-989395070
,,,,,-989841638
,,,,,-981684469
,,,,,-989049425
,,,,,-989039662
,,,,,-988281149
,,,,,-985291849
,,,,,-982886381
,,,,,-982858939
,,,,,-989472658
,,,,,-982955479
,,,,,-986044311
,,,,,-988805544
,,,,,-989990967
,,,,,-984038114
,,,,,-989013452
,,,,,-988129652
,,,,,-985451640
,,,,,-981505482
,,,,,-983275699
,,,,,-985347044
,,,,,-988470837
,,,,,-988067847
,,,,,-984062833
,,,,,-985841027
,,,,,-985745738
,,,,,-983508493
,,,,,-986392841
,,,,,-983473289
,,,,,-986807915
,,,,,-982839891
,,,,,-987669136
,,,,,-981178014
,,,,,-987145220
,,,,,-989825922
,,,,,-989288393
,,,,,-988445003
,,,,,-987131877
,,,,,-988049991
,,,,,-981421015
,,,,,-984634938
,,,,,-983176068
,,,,,-984009660
,,,,,-986501297
,,,,,-988571259
,,,,,-984172837
,,,,,-988567568
,,,,,-985198188
,,,,,-988265561
,,,,,-986583991
,,,,,-984632252
,,,,,-982089870
,,,,,-984028800
,,,,,-985843861
,,,,,-987067264
,,,,,-987974396
,,,,,-981231345
,,,,,-987737653
,,,,,-989718475
,,,,,-981644266
,,,,,-982363233
,,,,,-989133684
,,,,,-985787597
,,,,,-984428157
,,,,,-986863263
,,,,,-981033827
,,,,,-981920211
,,,,,-987294628
,,,,,-982087668
,,,,,-988277874
,,,,,-982987772
,,,,,-983876381
,,,,,-985935077
,,,,,-984422921
,,,,,-986942485
,,,,,-985367901
,,,,,-987896555
,,,,,-982027011
,,,,,-983856061
,,,,,-982164454
,,,,,-989336858
,,,,,-983778414
,,,,,-987948309
,,,,,-987824671
,,,,,-982086698
,,,,,-983687544
,,,,,-986254155
,,,,,-983187380
,,,,,-981228801
,,,,,-988892739
,,,,,-986594160
,,,,,-985318284
,,,,,-982007682
,,,,,-988609961
,,,,,-983915501
,,,,,-982102471
,,,,,-987018756
,,,,,-983121506
,,,,,-981020418
,,,,,-985780618
,,,,,-984612101
,,,,,-981138846
,,,,,-989692227
,,,,,-986871772
,,,,,-989173910
,,,,,-985171689
,,,,,-982269476
,,,,,-987696779
,,,,,-986554089
,,,,,-987059096
,,,,,-981505817
,,,,,-986034091
,,,,,-986833301
,,,,,-989900849
,,,,,-985008360
,,,,,-987770185
,,,,,-984279470
,,,,,-985081174
,,,,,-988646361
,,,,,-986666466
,,,,,-985779638
,,,,,-985984131
,,,,,-981071796
,,,,,-989637108
,,,,,-981413570
,,,,,-981736743
,,,,,-983979971
,,,,,-985201751
,,,,,-983618519
,,,,,-986773909
,,,,,-989403854
,,,,,-986681409
,,,,,-986352257
,,,,,-984738011
,,,,,-988364075
,,,,,-982436395
,,,,,-987408126
,,,,,-988692448
,,,,,-989398017
,,,,,-981692088
,,,,,-986521133
,,,,,-981114441
,,,,,-987814857
,,,,,-987456954
,,,,,-988996199
,,,,,-984982943
,,,,,-987243770
,,,,,-987044565
,,,,,-981834261
,,,,,-985122665
,,,,,-982154526
,,,,,-985054727
,,,,,-988045800
,,,,,-984632011
,,,,,-981697038
,,,,,-988178746
,,,,,-987112991
,,,,,-988689972
,,,,,-989700804
,,,,,-986125289
,,,,,-981199074
,,,,,-984558816
,,,,,-988030205
,,,,,-987131384
,,,,,-982863768
,,,,,-985264868
,,,,,-981675785
,,,,,-989504487
,,,,,-987868385
,,,,,-984062467
,,,,,-989202972
,,,,,-981185497
,,,,,-981940313
,,,,,-988261609
,,,,,-987104670
,,,,,-984591397
,,,,,-989605303
,,,,,-987436154
,,,,,-984924923
,,,,,-989237974
,,,,,-986767578
,,,,,-981410414
,,,,,-984921690
,,,,,-985211373
,,,,,-984828846
,,,,,-985950383
,,,,,-989672943
,,,,,-987161761
,,,,,-982778095
,,,,,-985614219
,,,,,-989599464
,,,,,-986214617
,,,,,-988413453
,,,,,-983446796
,,,,,-987976445
,,,,,-987845210
,,,,,-984928455
,,,,,-984056199
,,,,,-986820101
,,,,,-982302142
,,,,,-986760765
,,,,,-989075292
,,,,,-984353835
,,,,,-984528656
,,,,,-986793493
,,,,,-985956169
,,,,,-989602379
,,,,,-986168811
,,,,,-983510121
,,,,,-985220175
,,,,,-987273528
,,,,,-982891205
,,,,,-987260315
,,,,,-987399020
,,,,,-985639141
,,,,,-982007256
,,,,,-987647353
,,,,,-988012011
,,,,,-983677761
,,,,,-983719318
,,,,,-986327307
,,,,,-989795851
,,,,,-981293506
,,,,,-988754243
,,,,,-989074673
,,,,,-981803157
,,,,,-986903411
,,,,,-982055605
,,,,,-985391351
,,,,,-986386686
,,,,,-986314895
,,,,,-983672131
,,,,,-986273175
,,,,,-989852339
,,,,,-985182745
,,,,,-989293621
,,,,,-989513995
,,,,,-981050787
,,,,,-984995723
,,,,,-985545157
,,,,,-984423689
,,,,,-984845066
,,,,,-985187942
,,,,,-981648126
,,,,,-983992098
,,,,,-982571001
,,,,,-985903583
,,,,,-981914963
,,,,,-985063648
,,,,,-981633219
,,,,,-985615071
,,,,,-989310154
,,,,,-986916864
,,,,,-986593579
,,,,,-987070967
,,,,,-988072161
,,,,,-989795697
,,,,,-983727813
,,,,,-989848147
,,,,,-981774722
,,,,,-983184715
,,,,,-985286003
,,,,,-987802406
,,,,,-985866878
,,,,,-988788977
,,,,,-988469987
,,,,,-981235571
,,,,,-983528102
,,,,,-982517698
,,,,,-981113251
,,,,,-988957296
,,,,,-987676049
,,,,,-988419122
,,,,,-982850940
,,,,,-983929844
,,,,,-981219596
,,,,,-987143118
,,,,,-982091755
,,,,,-984876092
,,,,,-986190656
,,,,,-987231567
,,,,,-983282500
,,,,,-987260032
,,,,,-987902488
,,,,,-984456555
,,,,,-983282609
,,,,,-988532304
,,,,,-983801441
,,,,,-987130486
,,,,,-984474496
,,,,,-985673195
,,,,,-986950583
,,,,,-986707014
,,,,,-988965617
,,,,,-989054349
,,,,,-985225727
,,,,,-984020552
,,,,,-983875388
,,,,,-985996910
,,,,,-982917045
,,,,,-989834737
,,,,,-989880397
,,,,,-985381475
,,,,,-988578358
,,,,,-982232419
,,,,,-987230286
,,,,,-983175320
,,,,,-987782476
,,,,,-982562921
,,,,,-985141370
,,,,,-983596326
,,,,,-984572019
,,,,,-982475836
,,,,,-983281945
,,,,,-981359676
,,,,,-983388628
,,,,,-984790667
,,,,,-989171723
,,,,,-986908180
,,,,,-986538618
,,,,,-986927006
,,,,,-989785534
,,,,,-982965350
,,,,,-983650226
,,,,,-983008763
,,,,,-983130797
,,,,,-987889073
,,,,,-984501715
,,,,,-986343266
,,,,,-982242700
,,,,,-983768729
,,,,,-982394383
,,,,,-981185152
,,,,,-982484209
,,,,,-985091972
,,,,,-989102960
,,,,,-983652550
,,,,,-985286625
,,,,,-982162620
,,,,,-987156533
,,,,,-984452982
,,,,,-984545194
,,,,,-986563813
,,,,,-981058559
,,,,,-982356214
,,,,,-983945871
,,,,,-984194306
,,,,,-984524910
,,,,,-985582252
,,,,,-985946277
,,,,,-988836491
,,,,,-981485724
,,,,,-981082391
,,,,,-987473717
,,,,,-986615656
,,,,,-989660326
,,,,,-989563681
,,,,,-984234966
,,,,,-984562225
,,,,,-987198127
,,,,,-983725311
,,,,,-986792893
,,,,,-988509086
,,,,,-987585605
,,,,,-984287241
,,,,,-981691446
,,,,,-987601132
,,,,,-987036092
,,,,,-982004859
,,,,,-985167491
,,,,,-983288445
,,,,,-982585737
